time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,5,5,0,0
2026-04-12 00:00:00+00:00,22,9,0,0
2026-04-13 00:00:00+00:00,28,11,0,0
2026-04-14 00:00:00+00:00,30,7,0,0
2026-04-15 00:00:00+00:00,10,5,0,0
2026-04-16 00:00:00+00:00,14,6,0,0
2026-04-17 00:00:00+00:00,36,10,0,0
2026-04-18 00:00:00+00:00,31,10,0,0
2026-04-19 00:00:00+00:00,30,12,0,0
2026-04-20 00:00:00+00:00,10,5,0,0
2026-04-21 00:00:00+00:00,15,6,3,1
2026-04-22 00:00:00+00:00,64,18,0,0
2026-04-23 00:00:00+00:00,46,11,1,1
2026-04-24 00:00:00+00:00,83,27,0,0
